Me
B06[N-O]
B06[N-S]
B06[N-F]
B06[N-Cl]
B06[N-Br]
B06[O-O]
B06[O-S]
B06[O-F]
B06[O-Cl]
B06[O-Br]
B06[S-Cl]
B07[C-C]
B07[C-N]
B07[C-O]
B07[C-S]
B07[C-F]
B07[C-Cl]
B07[C-Br]
B07[N-N]
B07[N-O]
B07[N-S]
B07[N-F]
B07[N-Cl]
B07[N-Br]
B07[O-O]
B07[O-S]
B07[O-F]
B07[O-Cl]
B07[O-Br]
B08[C-C]
B08[C-N]
B08[C-O]
B08[C-S]
B08[C-F]
B08[C-Cl]
B08[C-Br]
B08[N-N]
B08[N-O]
B08[N-S]
B08[N-F]
B08[N-Cl]
B08[O-O]
B08[O-S]
B08[O-F]
B08[O-Cl]
B08[O-Br]
B09[C-C]
B09[C-N]
B09[C-O]
B09[C-S]
B09[C-F]
B09[C-Cl]
B09[C-Br]
B09[N-N]
B09[N-O]
B09[N-S]
B09[N-F]
B09[N-Cl]
B09[O-O]
B09[O-S]
B09[O-F]
B09[O-Cl]
B10[C-C]
B10[C-N]
B10[C-O]
B10[C-S]
B10[C-F]
B10[C-Cl]
B10[C-Br]
B10[N-N]
B10[N-O]
B10[N-S]
B10[N-F]
B10[N-Cl]
B10[O-O]
B10[O-S]
B10[O-F]
B10[O-Cl]
F01[C-O]
F02[C-N]
F02[C-O]
F03[C-N]
F03[C-O]
F04[C-N]
F04[C-O]
F05[C-N]
F05[C-O]
F06[C-N]
F06[C-O]
F07[C-N]
F07[C-O]
F08[C-N]
TPSA(Tot)
SAscore
Ro5
DLS_01
DLS_02
DLS_03
DLS_04
DLS_05
DLS_06
DLS_07
DLS_cons
LLS_01
LLS_02
QEDu
MDEN-23
ringChiralCenter
meanDistFromCC
phLevel1
phLevel2
phLevel3
arLevel1
arLevel2
s2_phSize
s3_phSize
s1_phRelSize_2
s2_numAroBonds
s3_numAroBonds
