SMILES,INCHIKEY,dHm
CCCCCCCCCCCC(=O)OCC(C)(C)COC(=O)CCCCCCCCCCC,AICVNPFGQRNUCD-UHFFFAOYSA-N,45.8
C1=CC=C2C(=C1)C3=C(N2)C=NC=C3,AIFRHYZBTHREPW-UHFFFAOYSA-N,25.5
CC1=CC=CC2=C1C=CC3=C2C(=O)C(=O)C4=C3OC=C4C,AIGAZQPHXLWMOJ-UHFFFAOYSA-N,22.09
CCOP(=S)(C1=CC=CC=C1)OC2=CC=C(C=C2)[N+](=O)[O-],AIGRXSNSLVJMEA-UHFFFAOYSA-N,25.05
[H]C([H])([H])C([N+]([O-])=O)(C([H])([H])[H])C([H])([H])[H],AIMREYQYBFBEGQ-UHFFFAOYSA-N,2.58
COC1=CC=C(C=C1O)[C@@H]1CC(=O)C2=C(O1)C=C(O)C=C2O,AIONOLUJZLIMTK-AWEZNQCLSA-N,35.9
COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O,AIONOLUJZLIMTK-UHFFFAOYSA-N,35.9
O[C@H](CC(O)=O)C1=C(F)C=CC=C1,AIWIRGXTIRVAIX-MRVPVSSYSA-N,22.6087
OC(CC(O)=O)C1=C(F)C=CC=C1,AIWIRGXTIRVAIX-UHFFFAOYSA-N,27.2142
FC(F)(Cl)C(F)(Cl)Cl,AJDIZQLSFPQPEY-UHFFFAOYSA-N,2.47
OCCOCN1C=NC2=C1N=C1NC(=CN1C2=O)C1=CC=C(C=C1)C1=CC=CC=C1,AJNKBCXCPVRBBQ-UHFFFAOYSA-N,45.43
[H]C([H])([H])C1([H])SC([H])([H])C([H])([H])C1([H])[H],AJPGNQYBSTXCJE-UHFFFAOYSA-N,8.87
CCCCCCCCCCCCCCCCCCCCC(=O)OC,AJRICDSAJQHDSD-UHFFFAOYSA-N,75.1
COC1=CC=C(C=C1)N(C)N(=O)=O,AJXZMHDWQUSAFS-UHFFFAOYSA-N,22.7
NC1=C(Cl)C=CC=C1,AKCRQHGQIJBRMN-UHFFFAOYSA-N,12.38
[H]OC(=O)c1c(O[H])c([H])c([H])c([H])c1O[H],AKEUNCKRJATALU-UHFFFAOYSA-N,25.0
CC(/C=C/C1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)NC1=CC=C(O)C=C1,AKJHMTWEGVYYSE-BLBIGBMOSA-N,45.0282
OC1=CC=C(C(=C1)N(=O)=O)N(=O)=O,AKLOLDQYWQAREW-UHFFFAOYSA-N,25.3301
CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)COC(=O)C)O)C)O)F)C,AKUJBENLRBOFTD-UHFFFAOYSA-N,37.72
COC(=O)C1=CC2=CC(=CC(=C2C=C1)C(=O)OC)C(=O)OC,AKWLIZLUDRYABC-UHFFFAOYSA-N,37.4
CCCCCCCCCCCCCCCCCCCCCCCC(=O)OCC,AKXFYSSXNQQBNT-UHFFFAOYSA-N,57.8
[H]c1c([H])c(c(I)c(c1[H])C([H])([H])[H])[N+]([O-])=O,AKYPSJARSQSCHJ-UHFFFAOYSA-N,20.68
[H]N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],ALBYIUDWACNRRB-UHFFFAOYSA-N,19.533
[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCCCCCOC1=CC=CC=C1)[C@H](C)CCCC(C)C,ALCFZMHQBDIEJD-NMSLFVSUSA-N,45.0
C1=CC(=C(C(=C1)Cl)Cl)C2=C(C=CC(=C2)Cl)Cl,ALDJIKXAHSDLLB-UHFFFAOYSA-N,18.3
C1CC2=CC(=CC=C2)CCC3=CC=C1C=C3,ALDQBAILWKRGEG-UHFFFAOYSA-N,12.76
CC1=CC=CC=C1C2=CC=CC=C2,ALLIZEAXNXSFGD-UHFFFAOYSA-N,13.93
CC1=CC(COC2=CC=C(C=C2C)C2=CC(C)=C(OCC(O)CO)C=C2)=CC=C1,ALPWKGAJZUSZJM-UHFFFAOYSA-N,48.5
[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])O[H],ALQSHHUCVQOPAS-UHFFFAOYSA-N,12.71
C1=CC2=C3C(=C1)C=CC4=C(C=CC(=C43)C=C2)[N+](=O)[O-],ALRLPDGCPYIVHP-UHFFFAOYSA-N,18.9
[H]C([H])([H])C([H])([H])C([H])([H])SSC([H])([H])C([H])([H])C([H])([H])[H],ALVPFGSHPUPROW-UHFFFAOYSA-N,13.81
[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])O[H],ALVZNPYWJMLXKV-UHFFFAOYSA-N,35.533
NC1=CC=C(C=C1)C(O)=O,ALYNCZNDIQEVRV-UHFFFAOYSA-N,24.703742857142853
CCCCC1=CC=C(C=C1)N=CC1=CC=C(S1)C=CC1=CC=CS1,AMARZQVROMNHLH-UHFFFAOYSA-N,33.4
CC1=C(S(=O)(=O)CCO1)C(=O)NC2=CC=CC=C2,AMEKQAFGQBKLKX-UHFFFAOYSA-N,26.66
[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],AMQJEAYHLZJPGS-UHFFFAOYSA-N,10.28
CCCCCO[C@H]1CC[C@@H](CC1)C(=O)OC1=C(C#N)C(C#N)=C(OC(=O)[C@H]2CC[C@@H](CC2)OCCCCC)C=C1,AMYZETICTOHJFW-KKLUKGEUSA-N,24.7021
CCCCCCNC(=O)CCCCCCCCC(=O)NCCCCCC,ANLFZJDBTDDXJA-UHFFFAOYSA-N,53.56
ClC1=CC=C(NS(=O)(=O)C2=CC=CC=C2)C=C1,ANRCRHLXUCJAKV-UHFFFAOYSA-N,25.8
C1=CC=C2C(=C1)C=CC3=NC4=C(C=C32)C5=CC=CC=C5C=C4,ANUCHZVCBDOPOX-UHFFFAOYSA-N,25.5
CC1=CC=C(C=C1)N(C1=CC(C)=CC=C1)C1=CC(C)=CC=C1,ANXTWUZEYYACQX-UHFFFAOYSA-N,26.3919
CCCCCCCCCCCCOC1=CC=C(C=C1)C1=CC=C(OCC2=CC=C(C=N2)C(=O)OCC)C=C1,ANYQMXQSBQYPNL-UHFFFAOYSA-N,40.87
CCCOCCOC1=C(C#N)C(C#N)=C(OC(=O)C2=CC=C(C=C2)[C@H]2CC[C@H](CC)CC2)C=C1,AOAACKQHDZFAQA-MEMLXQNLSA-N,26.7955
[H]C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],AOGQPLXWSUTHQB-UHFFFAOYSA-N,19.83
[H]N([H])C([H])([H])C([H])(N([H])[H])C([H])([H])[H],AOHJOMMDDJHIJH-UHFFFAOYSA-N,18.42
CC1=CC(=C(C(=C1[N+](=O)[O-])C)[N+](=O)[O-])C(C)(C)C,AOJWKPQIUREKNP-UHFFFAOYSA-N,16.68
[H]N([H])c1c([H])c([H])c([H])c([H])c1Br,AOPBDRUWRLBSDB-UHFFFAOYSA-N,18.09
[H]C([H])([H])C([H])([H])C([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H],AORMDLNPRGXHHL-UHFFFAOYSA-N,9.505
[H]OC([H])([H])C([H])(O[H])C([H])(O[H])C([H])(O[H])C([H])(F)C([H])=O,AOYNUTHNTBLRMT-UHFFFAOYSA-N,38.2
CCCCCOC1=CC=C(C=C1OCCCCC)C=C1/NC(=O)C(NC1=O)=CC1=CC=C(OCCCCC)C(OCCCCC)=C1,APDLFGOJIJOFEZ-UHFFFAOYSA-N,54.3
CC1=CC=C(C2=CC=CC=C12)C,APQSQLNWAIULLK-UHFFFAOYSA-N,10.6
[H]c1c([H])c([H])c2c([H])c(Br)c([H])c([H])c2c1[H],APSMUYYLXZULMS-UHFFFAOYSA-N,13.185
CCCCCCC(=O)OC1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34)C)C#C,APTGJECXMIKIET-UHFFFAOYSA-N,21.6
[H][C@@]12CC[C@@](OC(=O)CCCCCC)(C#C)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H],APTGJECXMIKIET-WOSSHHRXSA-N,21.600000000000005
CCCCCCCCCCCCOC1=CC=C(C=CC2=CC=CC=N2=O)C=C1,APVMLQGWNMBOCO-UHFFFAOYSA-N,28.0827
[H]C([H])([H])C12SC3(SC(S1)(SC(S2)(S3)C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],APZGKGHAXUURNO-UHFFFAOYSA-N,23.7
CC(C)NC[C@H](O)COC1=C2C=CC=CC2=CC=C1,AQHHHDLHHXJYJD-AWEZNQCLSA-N,36.2786
[H]N(C#N)C(=NC([H])([H])[H])N([H])C([H])([H])C([H])([H])SC([H])([H])c1nc([H])n([H])c1C([H])([H])[H],AQIXAKUUQRKLND-UHFFFAOYSA-N,39.607
[H]OC([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H],AQIXEPGDORPWBJ-UHFFFAOYSA-N,9.08
[H]C1([H])C([H])([H])C([H])([H])C([H])(Br)C([H])([H])C1([H])[H],AQNQQHJNRPDOQV-UHFFFAOYSA-N,10.79
[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)OCC(F)(F)C(F)F)[C@H](C)CCCC(C)C,AQNUFAUVWWRJEL-RFWRZFGQSA-N,23.8
C1=CC=C(C=C1)C2=C3C=CC(=C(C4=CC=C(N4)C(=C5C=CC(=N5)C(=C6C=CC2=N6)C7=CC=CC=C7)C8=CC=CC=C8)C9=CC=CC=C9)N3,AQPPOLXYUQPDOD-UHFFFAOYSA-N,41.3
C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,AQPUCGPFMVEJGS-UHFFFAOYSA-N,37.667
[H]N(C(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],AQSQFWLMFCKKMG-UHFFFAOYSA-N,14.87
CCCCCCCCCCCCC=CCCCC(=O)O,AQWHMKSIVLSRNY-UHFFFAOYSA-N,45.11
[H]OC(=O)C([H])([H])C([H])([H])C([H])(C(=O)O[H])C([H])([H])[H],AQYCMVICBNBXNA-UHFFFAOYSA-N,30.26
[H]OC(=O)c1c([H])c([H])c(C(=O)O[H])c(c1[H])C(=O)O[H],ARCGXLSVLAOJQL-UHFFFAOYSA-N,30.8
CC(C)C1=CN(C)C(=O)N(C)C1=O,ARNHJYLWWREAOP-UHFFFAOYSA-N,22.36
C1=CC(=C(C=C1C2=C(C=CC(=C2Cl)Cl)Cl)Cl)Cl,ARXHIJMGSIYYRZ-UHFFFAOYSA-N,16.2
[H]OC(=O)C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])C(=O)O[H],ASJCSAKCMTWGAH-UHFFFAOYSA-N,19.1
[H]c1c([H])c(c([H])c(OC([H])([H])[H])c1OC([H])([H])[H])C([H])([H])C#N,ASLSUMISAQDOOB-UHFFFAOYSA-N,24.72
CCCC1=CC=C(C=C1)C#CC2=CC(=C(C=C2)F)F,ASODTPYHUHDTFO-UHFFFAOYSA-N,20.2
CC1=CC=CC(=C1)[C@H](O)C(O)=O,ASTGXUHKUFFOQX-QMMMGPOBSA-N,29.2
CC1=CC=CC(=C1)C(O)C(O)=O,ASTGXUHKUFFOQX-UHFFFAOYSA-N,25.6
O=C(CCCCCCCOC1=CC=C(C=C1)C1=CC=C(OCCCCCCCC(=O)OC2=CC=CC=C2)C=C1)OC1=CC=CC=C1,ASUUFOLZPWEMQO-UHFFFAOYSA-N,76.62
CC1=CC2=C(C=CC3=CC=CC=C32)C4=CC=CC=C14,ASVDRLYVNFOSCI-UHFFFAOYSA-N,22.7
CC1=CC(C)=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=N1,ASWVTGNCAZCNNR-UHFFFAOYSA-N,39.22
[H]N(C([H])=O)C([H])([H])[H],ATHHXGZTWNVVOU-UHFFFAOYSA-N,10.44
[H]C([H])([H])C([H])([H])C([H])([H])[H],ATUOYWHBWRKTHZ-UHFFFAOYSA-N,3.51
CCCC1=CN(C)C(=O)N(C)C1=O,ATVGUGAIBQWUIZ-UHFFFAOYSA-N,26.32
[H]OC(=O)c1c([H])c([H])c(c([H])c1[H])C([H])([H])C([H])([H])C([H])([H])[H],ATZHGRNFEFVDDJ-UHFFFAOYSA-N,23.3
[H]c1c(c([H])c(c([H])c1C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],AUHZEENZYGFFBQ-UHFFFAOYSA-N,9.51
